Ranking,Name,Tuition,Board,Salary
> 600,University of South Alabama,"$15,324","$7,490","$37,367"
> 600,University of South Dakota,"$12,019","$8,030","$40,533"
> 600,Southeast Missouri State University,"$12,720","$8,715","$36,333"
> 600,Southeastern Louisiana University,"$20,631","$8,854","$36,000"
> 600,Southern University and A&M College,"$18,080","$9,440","$33,867"
> 600,Southern Connecticut State University,"$23,226","$12,432","$42,900"
> 600,University of Southern Indiana,"$18,626","$8,838","$35,700"
> 600,University of Southern Maine,"$20,594","$9,774","$37,933"
> 600,Southern Utah University,"$20,288","$7,067","$38,767"
> 600,St Cloud State University,"$16,462","$8,558","$42,900"
> 600,University of St Francis,"$31,470","$9,358","$48,633"
> 600,Stephen F. Austin State University,"$17,676","$8,868","$40,333"
> 600,University of Tampa,"$28,426","$10,502","$46,100"
> 600,The University of Tennessee-Chattanooga,"$24,782","$9,100","$37,100"
> 600,The University of Tennessee-Martin,"$14,996","$5,976","$35,600"
> 600,Texas A&M University-Commerce,"$20,884","$8,404","$37,933"
> 600,Texas A&M University-Corpus Christi,"$18,925","$9,195","$42,033"
> 600,University of Texas at San Antonio,"$19,168","$11,234","$44,133"
> 600,Touro College,"$17,054","$11,470","$29,633"
> 600,Trine University,"$31,540","$10,570","$41,833"
> 600,Utah Valley University,"$16,066",n/a,"$43,550"
> 600,Valdosta State University,"$17,196","$8,338","$37,433"
> 600,Vanguard University,"$32,430","$9,690","$38,767"
> 600,Weber State University,"$15,260","$8,400","$43,333"
> 600,Webster University,"$27,100","$11,050","$41,300"
> 600,West Chester University,"$21,590","$12,942","$47,067"
> 600,University of West Florida,"$18,658","$9,354","$37,100"
> 600,University of West Georgia,"$17,010","$9,444","$37,500"
> 600,West Liberty University,"$15,020","$9,320","$34,800"
> 600,Western Carolina University,"$17,290","$9,553","$36,567"
> 600,Western Connecticut State University,"$23,107","$12,417","$43,967"
> 600,Western Kentucky University,"$25,512","$8,350","$34,100"
> 600,Western Oregon University,"$25,653","$10,203","$38,633"
> 600,Westfield State University,"$15,795","$10,689","$44,300"
> 600,Wichita State University,"$17,390","$10,000","$39,767"
> 600,Wingate University,"$31,120","$10,780","$40,467"
> 600,Winona State University,"$15,302","$8,730","$43,200"
> 600,Winthrop University,"$29,266","$8,740","$36,100"
> 600,University of Wisconsin-Eau Claire,"$16,736","$7,506","$44,300"
> 600,University of Wisconsin-Green Bay,"$15,728","$7,306","$39,233"
> 600,University of Wisconsin-Oshkosh,"$15,160","$7,792","$41,367"
> 600,University of Wisconsin-Parkside,"$15,378","$7,512","$38,100"
> 600,University of Wisconsin-Platteville,"$15,386","$7,526","$45,733"
> 600,University of Wisconsin-River Falls,"$15,586","$7,760","$40,433"
> 600,University of Wisconsin-Stevens Point,"$16,476","$7,291","$39,400"
> 600,University of Wisconsin-Stout,"$17,423","$6,714","$44,033"
> 600,University of Wisconsin-Whitewater,"$16,235","$6,442","$41,967"
> 600,Worcester State University,"$15,612","$12,130","$46,200"
> 600,Wright State University,"$17,608","$11,376","$38,667"
> 600,York College of Pennsylvania,"$19,430","$10,830","$48,633"
> 600,Youngstown State University,"$8,811","$9,090","$34,500"
